Unnamed: 0,situation,emotion
7795,"I won tickets to a concert and when we got there, they were supposed to have the tickets at the box office and they didn't so the refused us no matter how much proof we gave that we won.  It was ridiculous!",furious
7796,the amount of crime growing near me is scary to think about,terrified
7797,i'm 800 miles from my family,lonely
7798,When I lie in bed at night I hear noises come out of my closet. I am convinced that something is in there. I'm so fearful.,terrified
7799,"I got a much higher grade on my quiz than I expected, so I am happy with myself for once.",proud
7800,"with all the crime that has increased in my area, i decided to get myself a new shotgun",prepared
7801,I was disappointed to hear a very close friend of mine from work is switching his shifts.  We won't work together anymore.,disappointed
7802,My son won first place at his first spelling bee.,proud
7803,i have a good feeling our government will turn the turmoil in our country around,faithful
7804,Once I borrowed some money from my brother's wallet. I meant to pay it back but kept forgetting. Now it is really eating me up.,guilty
7805,I know very well that I locked the door before I left I wonder how they got in,confident
7806,i prepared so hard so i know ill win a trophy,confident
7807,i was hoping to be able to go visit family soon but i don't think it's going to happen,disappointed
7808,I'm terrified of when the tornado sirens go off.   I always feel like its going to hit my house for sure.,terrified
7809,"I'm going to have a baby soon, our third child!  I am ecstatic!  I think we're done after 3 though. ha ha.",joyful
7810,"I have a health check up tomorrow, but I am a bit nervous to go. It's been a while.",apprehensive
7811,I am so envious of my best friend. He has a sick ride with a phat stereo system. I wish I was him sometimes.,jealous
7812,I was chatting with an old friend on FaceBook that I hadn't talked to in a long time.,nostalgic
7813,I'm jealous of people who live in a warm climate all year long. Must be nice.,jealous
7814,"On my first plane ride ever, we hit some pretty bad turbulence. I was freaking out!",terrified
7815,"I was spending time with family, and I started to feel happy about the time we have together.",sentimental
7816,I was furious to hear that my dental bill was three times of what I was expecting!,furious
7817,i was waiting all week for saturday morning and i got great weather. i was extactic,joyful
7818,As a lawyer in order to prove my point that my client forgot his car and mistakenly enter someone else's car I had to leave my zipper open after going to the washroom,embarrassed
7819,I loss my grandfather. He was very sick,devastated
7820,"We had some birthday cake from my husband's party this past weekend in the fridge, and I ate the last piece because I was craving chocolate like crazy!  I feel so bad now.",guilty
7821,My son just gave his first flute recital. He did great! I am happy he put so much effort into it.,proud
7822,I woke up in the night smelling something burning,afraid
7823,"i got home and my husband had mowed, cleaned, and got dinner ready",impressed
7824,"I get anxious whenever I'm waiting in line for a flight, and it's less than 30 minutes from take off.",anxious
7825,I can't wait for this weekend because I will finally get to go to the water park.,excited
7826,I got a ticket because I was speeding. I wasn't even going that far over the speed limit!,furious
7827,"I was really happy when my wife decided to quit her job.  It was a bad job for her credentials, and I thought it was really cool of her to start her own practice.",proud
7828,I miss when I lived at home with my parents. My mom always made my favorite meals and read my bedtime stories.,nostalgic
7829,My Grandma just passed away.  Its been a brutally tough time.,devastated
7830,i made it to work early and was able to get ready before people started coming in,prepared
7831,How can a guy that is not educated any more than a masters degree holder,jealous
7832,I was nervous going to the dmv. I hate going there,anxious
7833,I was almost ran off the interstate,afraid
7834,I can't wait for date night. It relaxes me.,excited
7835,I was glad when my dad retired. He deserved it,proud
7836,I'm glad I made friends at ym job. I usually keep it professional,grateful
7837,i walked out of the house and heard a rustling in the brush and found a deer running up the hill,terrified
7838,My daughter is doing so well in school that she flew through 3rd grade a year early and is starting 4th grade next week. I'm amazing at how well she's doing!,proud
7839,I get so excited when I get to a seafood buffet. I just love crab and lobster,anxious
7840,I recently lost my pet turtle. I think he may have escaped my yard. I am so sad I miss him terribly!,devastated
7841,I was not sure when it came to the dmv. I did not want to go there,apprehensive
